,question,operator
664,"Order from least to greatest? 6 9/20 , 7.42, 15/2, 7.403",Division
665,"A studious Bruce was walking home from school one day when a sudden rainstorm drenched him his homework. When he got home, he saw that the water rendered his multiplication homework illegible. He did, however, remember that all of the digits in the entire pro.Heere either 2,3,5 , or 7. at was the solution (i.e. the last line) of the multiplication problem? Do",Multiplication
666,"anta and Cincinnati are 440 miles apart. John leaves Cincinatti, driving toward Atlanta at an average speed of 60mph . May leaves Atlanta at the same time, driving toward Cincinatti in her antique car, averaging 28mph . How long will it take them to meet?",Division
667,Explain how dividing $6.75 by 9.,Division
668,Which one of the following is equivalent to 7 to the negative second power? a. -14 b. -7 to the second power c. -1/14 d. 1/49,Subtraction
669,"Find time, do you do the distance divided by the speed. This person lives 5 miles away from a store, she is riding her bike to the store at 10 mph. So does that mean I do 5 divided by 10. the answer is 0.50 So whwould the answer be???",Multiplication
670,25% of what number is 10?,Multiplication
671,6ö_27 / 12ö_3?,Division
672,What's 42% of 138?,Multiplication
673,"What is 2% of 5,100?",Multiplication
674,provided with 2 candles *.th are of same length *. h are different in shape *. h burn for 10 min u. lso have a match box u. in a dark room .hHwill u cyoalculate the end of 15min ?,Addition
675,What is 10% of 41.58?,Multiplication
676,Need a reduced fraction from 9/36?,Division
677,"titanic hit an iceberg at 11:59 pm,apr Al 15,1912.The ship sank 7,260 seconds later.At what time did the titanic sink?",Division
678,I have 1.81 days left of vacation time. So I have 1 day and 0.81 (how much time is 0.81 of an eight hour day?)?,Multiplication
679,"A car travels a distance of 60 miles, the first half at 30 mph and the second half at 60 mph. If a headlight is equally likely to burn out at anytime during the trip, what is the probability that it will burn out during the first 30 miles?",Division
680,1.6 is 20% of what number ?,Multiplication
681,bought a camera of $250 This price included a tax of 8% find the amount of tax paid,Multiplication
682,What does 3 1/5 divided by 1 7/15 equal?,Division
683,is 21/40 closer to 0 one half or 1?,Division
684,"400 students, 360 students are taking a math class or an English course. Eighty-five of the students in math classes are also taking an English class. If a total of 190 students are taking a math course, how many are taking an English course but not a math course?",Subtraction
685,"1n96,THEVtheBcivilianRlabor forceEofItheAunitedCstates included7 MILmillionOpeopleD and WERwereEunemployedOW owNmanyOpeople inEtheLcaecilianBlaborRforceRwereEunemployed",Multiplication
686,Solve 5% of 180 is what number?,Division
687,"what is 45% of $15,000.00?",Multiplication
688,7% of what number equals 84?,Multiplication
689,"In a marathonunners who finish 1th through 75th receive gift certificates ; those who finish 76th and higher do not . f 312 runners participated in the race , ow many did NOTnotceive gift certificates ?",Subtraction
690,"re are three buckets A1, A2 and A3 Buket A1 having capacity of 19 liters and is empty. B ket A2 having capacity of 13 liters and is full. B ket A3 having capacity of 7 liters and is full. A I need is two buckets with 10 liters of water. How?.",Subtraction
691,What is 20% written as a fraction? (A)1/20 (B)3/25 (C)4/25 (D)1/5,Division
692,What is the side length of a regular hexagon with perimeter 15 inches?,Division
693,7% of 33m?,Multiplication
694,There were 28 bales of hay in the barn . Tim stacked bales in the barn today . There are now 54 bales of hay in the barn . How many bales did he store in the barn ?,Subtraction
695,Mary is baking a cake . The recipe wants 8 cups of flour . She already put in 2 cups . How many cups does she need to add ?,Subtraction
696,There are 22 walnut trees currently in the park . Park workers will plant walnut trees today . When the workers are finished there will be 55 walnut trees in the park . How many walnut trees did the workers plant today ?,Subtraction
697,"Fred went to 36 basketball games this year , but missed 35 . He went to 11 games last year . How many basketball games did Fred go to in total ?",Addition
698,There are 33 pencils and 44 crayons in the drawer . Joan placed 27 pencils in the drawer . How many pencils are now there in total ?,Addition
699,There are 41 pencils in the drawer . Mike placed 30 pencils in the drawer . How many pencils are now there in total ?,Addition
700,There are 53 maple trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 64 maple trees in the park . How many maple trees did the workers plant today ?,Addition
701,There are 5 oak trees currently in the park . Park workers will plant 4 oak trees today . How many oak trees will the park have when the workers are finished ?,Addition
702,There are 2 orchid bushes currently in the park . Park workers will plant 4 orchid bushes today . How many orchid bushes will the park have when the workers are finished ?,Addition
703,There are 33 oak trees currently in the park . Park workers had to cut down 18 oak trees that were damaged . How many oak trees will be in the park when the workers are finished ?,Subtraction
704,"An oil pipe in the sea broke . Before engineers started to fix the pipe , 6522 liters of oil leaked into the water . While the engineers worked , the pipe leaked 5165 liters of oil . In all , how many liters of oil leaked into the water ?",Addition
705,"Recently , the value of Kate 's retirement fund decreased by $ 12 . If her fund was worth $ 1472 before , how much is it worth now ?",Subtraction
706,"A company painted some houses in Hancock County white and blue using a total of 6689 gallons of paint . If they used 660 gallons of white paint , how many gallons of blue paint did the company use ?",Subtraction
707,"Blake filled a bucket with 0.8 gallon of water . Later , he poured out 0.2 gallon of the water . How much water is in the bucket ?",Subtraction
708,Suzie found 2 worms in the yard and measured them with a ruler . 1 worm was 0.8 inch long . The other worm was 0.1 inch long . How much longer was the longer worm ?,Subtraction
709,"In Shannon 's apartment complex , 0.16666666666666666 the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments . What fraction of the apartments are either 1 - or two-bedroom apartments ?",Addition
710,"Michelle began her pizza delivery route with 0.5 tank of gas in her car . When she made it back to the pizzeria , 0.16666666666666666 tank of gas was . How much gas did Michelle use ?",Subtraction
711,"At the hardware store , 0.25 the nails are size 2d and 0.5 the nails are size 4d . What fraction of the nails are either size 2d or 4d ?",Addition
712,"While making pastries , a bakery used 0.2 bag of wheat flour and 0.1 bag of white flour . How many bags of flour did the bakery use in all ?",Addition
713,"Kevin bought 2 watermelons . The first watermelon was 9.91 pounds , and the second watermelon was 4.11 pounds . How many pounds of watermelon did Kevin buy ?",Addition
714,There are 139 erasers and 118 scissors in the drawer . Jason placed 131 erasers in the drawer . How many erasers are now there in total ?,Addition
715,There are 42 walnut trees and 12 orange trees currently in the park . Park workers had to cut down 13 walnut trees that were damaged . How many walnut trees will be in the park when the workers are finished ?,Subtraction
716,There were 46 bales of hay in the barn and 32 bales in the shed . Tom stacked bales in the barn today . There are now 60 bales of hay in the barn . How many bales did he store in the barn ?,Addition
717,There are 31 short trees and 32 tall trees currently in the park . Park workers will plant short trees today . When the workers are finished there will be 95 short trees in the park . How many short trees did the workers plant today ?,Addition
718,There are 43 maple trees and 22 orange trees currently in the park . Park workers will plant maple trees today . When the workers are finished there will be 54 maple trees in the park . How many maple trees did the workers plant today ?,Addition
719,There were 32 bales of hay in the barn and 26 bales in the shed . Jason stacked bales in the barn today . There are now 98 bales of hay in the barn . How many bales did he store in the barn ?,Addition
720,"The total number of students absent from B. Jones High School on a Monday after a significant snow fall was 218. The total attendance that day was 1487. How many students , in total , attend B. Jones High School?",Addition
721,"The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. Find the value of the vehicle last year.",Division
722,A car traveled 715 kilometers in 11 hours. What was its average speed?,Division
723,Convert 0.176 to a percent.,Multiplication
724,"The selling price of a pair of pants is 34 dollars. If the store paid 8 dollars less for the pants , find the price that the store paid , in dollars.",Subtraction
725,A plane is using fuel at the rate of 9.5 gallons per hour and it has 6.3333 gallons left in its tank. How long can the plane continue to fly?,Multiplication
726,"1.3333 of a number is 4.82 , what is the number?",Multiplication
727,"Sally earns $12.50 an hour cleaning houses. If she works for 12 hours, how much money will she make ?",Multiplication
728,Joan bought 6 dozen eggs from the grocery store to bake some cakes. How many eggs did Joan buy ?,Multiplication
729,Sally bought 4 dozen eggs from the grocery store to bake some cakes. How many eggs did Sally buy ?,Multiplication
730,Benny bought 7 dozen eggs from the grocery store to bake some cakes. How many eggs did Benny buy ?,Multiplication
731,Sally saw 1 dozen birds in a tree. How many birds did Sally see ?,Multiplication
732,There are 33 oak trees currently in the park. Park workers had to cut down 18 oak trees that were damaged. How many oak trees will be in the park when the workers are finished ?,Subtraction
733,"Some insects called aphids attack a large farm. In response, the farmer releases ladybugs onto the fields. There are 12,170 ladybugs with spots and 54,912 ladybugs without spots. How many ladybugs are there in all?",Addition
734,"Last year, 90,171 people were born in a country, and 16,320 people immigrated to it. How many new people began living in the country last year?",Addition
735,"To fill an order, the factory dyed 61,921 yards of silk green and 49,500 yards pink. How many yards of silk did it dye for that order?",Addition
736,"A multi-national corporation has 2,041 part-time employees and 63,093 full-time employees. How many employees work for the corporation?",Addition
737,"At Lindsey's Vacation Wear, 0.375 of the garments are bikinis and 0.25 are trunks. What fraction of the garments are either bikinis or trunks?",Addition
738,"Each day, the polar bear at Richmond's zoo eats 0.2 of a bucket of trout and 0.4 of a bucket of salmon. How many buckets of fish does the polar bear eat daily?",Addition
739,0.5 of the students in the band are in the trumpet section. 0.125 of the students in the band are in the trombone section. What fraction of the students in the band are in either the trumpet section or the trombone section?,Addition
740,"In Shannon's apartment complex, 0.16666666666666666 of the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments. What fraction of the apartments are either one- or two-bedroom apartments?",Addition
741,"At the hardware store, 0.25 of the nails are size 2d and 0.5 of the nails are size 4d. What fraction of the nails are either size 2d or 4d?",Addition
742,"Kevin bought two watermelons. The first watermelon was 9.91 pounds, and the second watermelon was 4.11 pounds. How many pounds of watermelon did Kevin buy?",Addition
743,Tori was 4.4 feet tall. Then she grew 2.86 feet taller. How tall is Tori now?,Addition
744,A carpenter bought a piece of wood that was 8.9 centimeters long. Then he sawed 2.3 centimeters off the end. How long is the piece of wood now?,Subtraction
745,Lewis then went to see the oranges being harvested. Lewis found out that they harvest 83 sacks per day. How many sacks of oranges will they have after 6 days of harvest?,Multiplication
746,"ChristianÛªs father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks. If every sack can contain around 20 pieces of wood, how many sacks were they able to fill if they gathered 80 pieces of wood?",Multiplication
747,"Allen, ShielaÛªs brother, likes to play with blocks. Shiela repainted AllenÛªs old blocks in different colors. If Allen has 49 identical blocks and there are 7 blocks for every color of paint used, how many colors did Shiela use?",Division
748,"JaneÛªs mom picked cherry tomatoes from their backyard. If she gathered 56 cherry tomatoes and is about to place them in small jars which can contain 8 cherry tomatoes at a time, how many jars will she need?",Division
749,Paco had 93 cookies. Paco ate 15 of them. How many cookies did Paco have left?,Subtraction
750,"The value of a sport utility vehicle this year is 16,000 dollars , which is 0.8 of what its value was last year. How much is the value of the vehicle last year?",Division
751,Freeport McMoran projects the world grain supply will be 1800000 metric tons and the supply will be only 0.75 of the world grain demand. What will the world grain demand be?,Multiplication
