,question,equations,operation,answers
811,Jason has 3 Pokemon cards. Benny bought 2 of Jason's Pokemon cards. How many Pokemon cards does Jason have now ?,3-2=x,Subtraction,1.0
812,"Mike has 8 orange marbles, he gave Sam 4 of the marbles. How many orange marbles does he now have ?",8-4=x,Subtraction,4.0
813,Joan had 5 dimes in her bank. She spent 2 of her dimes. How many dimes does she have now ?,5-2=x,Subtraction,3.0
814,There are 2 rose bushes currently in the park. Park workers will plant 4 more rose bushes today. How many rose bushes will the park have when the workers are finished ?,2+4=x,Addition,6.0
815,Sara picked 6 pears and Tim picked 5 pears from the pear tree. How many pears were picked in total ?,6+5=x,Addition,11.0
816,"Sam grew 4 watermelons, but the rabbits ate 3 watermelons. How many watermelons does Sam have left ?",4-3=x,Subtraction,1.0
817,There are 3 calories in a candy bar. How many calories are there in 5 candy bars ?,3*5=x,Multiplication,15.0
818,Dan has 5 blue marbles. Mary has 2 times more blue marbles than Dan. How many blue marbles does Mary have ?,5*2=x,Multiplication,10.0
819,Jason had Pokemon cards. He gave 9 Pokemon cards to his friends. He now has 4 Pokemon cards left. How many Pokemon cards did he have to start with ?,x-9=4,Subtraction,13.0
820,Mary had 7 nickels in her bank. Her dad gave her 5 more nickels. How many nickels does Mary have now ?,7+5=x,Addition,12.0
821,Keith grew 6 turnips. Alyssa grew 9 turnips. How many turnips did they grow in all ?,6+9=x,Addition,15.0
822,"There are 4 children in the classroom, each student will get 2 pencils. How many pencils will the teacher have to give out ?",4*2=x,Multiplication,8.0
823,Mary has 9 yellow marbles Joan has 3 yellow marbles. How many yellow marbles do they have in all ?,9+3=x,Addition,12.0
824,There are 8 calories in a candy bar. How many calories are there in 3 candy bars ?,8*3=x,Multiplication,24.0
825,"There are 960 students at a school. If each classroom holds 30 students, how many classrooms are needed at the school?",960=30*x,Multiplication,32.0
826,"Sally earns $12.50 an hour cleaning houses. If she works for 12 hours, how much money will she make ?",12.50*12=x,Multiplication,150.0
827,"There were a total of 12 basketball games in the season. The season is played for 2 months. How many basketball games were played each month, if each month has the same number of games?",12=2*x,Multiplication,6.0
828,"There are 1110 students at a school. If each classroom holds 30 students, how many classrooms are needed at the school?",1110=30*x,Multiplication,37.0
829,Sally grew 6 carrots. Fred grew 4 carrots. How many carrots did they grow in all ?,6+4=x,Addition,10.0
830,Benny has 6 blue marbles. Keith has 5 times more blue marbles than Benny. How many blue marbles does Keith have ?,6*5=x,Multiplication,30.0
831,"Fred earns $12.50 an hour cleaning houses. If he works for 8 hours, how much money will he make ?",12.50*8=x,Multiplication,100.0
832,Tom found 5 seashells on the beach. he gave Jessica 2 of the seashells. How many seashells does he now have ?,5-2=x,Subtraction,3.0
833,Fred has 5 baseball cards. Melanie bought 3 of Fred's baseball cards. How many baseball cards does Fred have now ?,5-3=x,Subtraction,2.0
834,"There were a total of 10 soccer games in the season. The season is played for 5 months. How many soccer games were played each month, if each month has the same number of games?",10=5*x,Multiplication,2.0
835,Melanie goes fishing with Tom. Melanie catches 8 trout. Tom catches 2 times as many trout as Melanie. How many trout did Tom catch ?,8*2=x,Multiplication,16.0
836,Tom was at the beach for 5 days and found 7 seashells every day. How many seashells did Tom find during the beach trip ?,5*7=x,Multiplication,35.0
837,Benny worked 3 hours for 6 days. How many hours did he work in total ?,3*6=x,Multiplication,18.0
838,Nancy has 7 black balloons. Mary has 4 times more black balloons than Nancy. How many black balloons does Mary have now ?,7*4=x,Multiplication,28.0
839,Alyssa has 36 books. Nancy has 7 times more books than Alyssa. How many books does Nancy have ?,36*7=x,Multiplication,252.0
840,There were a total of 13 hockey games a month. The season is played for 14 months. How many hockey games are in the seasons ?,13*14=x,Multiplication,182.0
841,Dan has 29 violet balloons. Tim has 7 times more violet balloons than Dan. How many violet balloons does Tim have ?,29*7=x,Multiplication,203.0
842,There are 31 calories in a candy bar. How many calories are there in 11 candy bars ?,31*11=x,Multiplication,341.0
843,Sara goes fishing with Melanie. Sara catches 5 trout. Melanie catches 2 times as many trout as Sara. How many trout did Melanie catch ?,5*2=x,Multiplication,10.0
844,Sally has 6 blue balloons. Fred has 3 times more blue balloons than Sally. How many blue balloons does Fred have now ?,6*3=x,Multiplication,18.0
845,"Mike worked 3 hours, each day, for 5 days. How many hours did he work in total ?",3*5=x,Multiplication,15.0
846,There were a total of 7 baseball games a month. The season is played for 2 months. How many baseball games are in a season ?,7*2=x,Multiplication,14.0
847,Mary had 8 potatoes in the garden. The rabbits ate 3 of the potatoes. How many potatoes does Mary now have ?,8-3=x,Subtraction,5.0
848,There were a total of 6 soccer games this year. Jessica missed 4 of the games. How many soccer games did Jessica go to in all ?,6=4+x,Addition,2.0
849,There are 9 oak trees currently in the park. Park workers had to cut down 2 oak trees that were damaged. How many oak trees will the park have when the workers are finished ?,9-2=x,Subtraction,7.0
850,Jessica had 8 quarters in her bank. Her sister borrowed 3 of her quarters. How many quarters does Jessica have now ?,8-3=x,Subtraction,5.0
851,There are 7 crayons in the drawer. Mary took 3 crayons out of the drawer. How many crayons are there now ?,7-3=x,Subtraction,4.0
852,Dan picked 9 limes and gave Sara 4 of the limes. How many limes does Dan have now ?,9-4=x,Subtraction,5.0
853,Dan found 7 seashells but 3 were broken. How many unbroken seashells did Dan find ?,7=3+x,Addition,4.0
854,Joan has 9 blue balloons but lost 2 of them. How many blue balloons does Joan have now ?,9-2=x,Subtraction,7.0
855,"Joan picked 43 apples from the orchard, and gave 27 apples to Melanie. How many apples does Joan have now ?",43-27=x,Subtraction,16.0
856,Alyssa's high school played 31 hockey games this year. She attended 13 games. How many hockey games did Alyssa miss ?,31=13+x,Addition,18.0
857,"Tom has 30 violet balloons, he gave Fred 16 of the balloons. How many violet balloons does he now have ?",30-16=x,Subtraction,14.0
858,Fred has 40 baseball cards. Keith bought 22 of Fred's baseball cards. How many baseball cards does Fred have now ?,40-22=x,Subtraction,18.0
859,"Fred found 47 seashells on the beach, he gave Jessica 25 of the seashells. How many seashells does he now have ?",47-25=x,Subtraction,22.0
860,"Sara grew 43 pumpkins, but the rabbits ate 23 pumpkins. How many pumpkins does Sara have left ?",43-23=x,Subtraction,20.0
861,Joan decided to sell all of her old books. She gathered up 33 books to sell. She sold 26 books in a yard sale. How many books does Joan now have ?,33-26=x,Subtraction,7.0
862,There are 46 rulers in the drawer. Tim took 25 rulers from the drawer. How many rulers are now in the drawer ?,46-25=x,Subtraction,21.0
863,There are 33 oak trees currently in the park. Park workers had to cut down 18 oak trees that were damaged. How many oak trees will be in the park when the workers are finished ?,33-18=x,Subtraction,15.0
864,"Joan purchased a basketball game for $5.20, and a racing game for $4.23. How much did Joan spend on video games?",5.20+4.23=x,Addition,9.43
865,"Mike joined his school's band. He bought a trumpet for $145.16, and a song book which was $5.84. How much did Mike spend at the music store?",145.16+5.84=x,Addition,151.0
866,"Alyssa bought some toys. She bought a football for $5.71, and spent $6.59 on marbles. In total, how much did Alyssa spend on toys?",5.71+6.59=x,Addition,12.3
867,"Jessica spent $10.22 on a cat toy, and a cage cost her $11.73. What was the total cost of Jessica's purchases?",10.22+11.73=x,Addition,21.95
868,Sara got fast food for lunch. Sara spent $5.36 on a hotdog and $5.10 on a salad. What was the total of the lunch bill?,5.36+5.10=x,Addition,10.46
869,"Jason went to the mall on Saturday to buy clothes. He spent $14.28 on shorts and $4.74 on a jacket. In total, how much money did Jason spend on clothing?",14.28+4.74=x,Addition,19.02
870,"Alyssa loves eating fruits. Alyssa paid $12.08 for grapes, and $9.85 for cherries. In total, how much money did Alyssa spend?",12.08+9.85=x,Addition,21.93
871,Mary has 9 yellow marbles. Joan has 3 yellow marbles. How many yellow marbles do they have in all ?,9+3=x,Addition,12.0
872,Jason had Pokemon cards. Jason gave 9 to his friends. Jason now has 4 Pokemon cards left. How many Pokemon cards did Jason have to start with ?,x-9=4,Subtraction,13.0
873,Your class is having a pizza party. You buy 5 pizzas. Each pizza has 4 slices. How many slices is that altogether?,5*4=x,Multiplication,20.0
874,My car gets 20 miles per gallon of gas. How many miles can I drive on 5 gallons of gas?,20*5=x,Multiplication,100.0
875,58 children are taking a bus to the zoo. They sit 2 children in every seat. How many seats will the children need in all?,58/2=x,Division,29.0
876,Marlee has 12 guests coming to her Halloween party. Each table will hold 3 guests. How many tables will Marlee need?,12/3=x,Division,4.0
877,Ellen went to a garage sale to buy chairs. Each chair is 15 dollars. How much did Ellen spend for the 12 chairs she bought?,15*12=x,Multiplication,180.0
878,Oscar's bus ride to school is 0.75 of a mile and Charlie's bus ride is 0.25 of a mile. How much longer is Oscar's bus ride than Charlie's?,0.75-0.25=x,Subtraction,0.5
879,"Karen added 0.25 of a cup of walnuts to a batch of trail mix. Later, she added 0.25 of a cup of almonds. How many cups of nuts did Karen put in the trail mix in all?",0.25+0.25=x,Addition,0.5
880,"Kendall is learning to drive, so this weekend she practiced driving 0.16666666666666666 of a mile with her mother and another 0.5 of a mile with her father. How far did Kendall drive in all?",0.16666666666666666+0.5=x,Addition,0.6666666666666666
881,"At a pie-eating contest, Erik got through 0.6666666666666666 of a pie before time was called; Frank finished just 0.3333333333333333 of a pie. How much more pie did Erik eat than Frank?",0.6666666666666666-0.3333333333333333=x,Subtraction,0.3333333333333333
882,A tailor cut 0.75 of an inch off a skirt and 0.5 of an inch off a pair of pants. How much more did the tailor cut off the skirt than the pants?,0.75-0.5=x,Subtraction,0.25
883,"At Lindsey's Vacation Wear, 0.375 of the garments are bikinis and 0.25 are trunks. What fraction of the garments are either bikinis or trunks?",0.375+0.25=x,Addition,0.625
884,Darnel sprinted 0.875 of a lap and then took a break by jogging 0.75 of a lap. How much farther did Darnel sprint than jog?,0.875-0.75=x,Subtraction,0.125
885,A marine biologist measured one fish that was 0.3 of a foot long and a second fish that was 0.2 of a foot long. How much longer was the first fish?,0.3-0.2=x,Subtraction,0.1
886,Hannah's Vegetarian Restaurant bought 0.3333333333333333 of a pound of green peppers and 0.3333333333333333 of a pound of red peppers. How many pounds of peppers did Hannah's Vegetarian Restaurant buy in all?,0.3333333333333333+0.3333333333333333=x,Addition,0.6666666666666666
887,"Ella owns two dogs. Each day, one dog eats 0.125 of a scoop of dog food and the other dog eats 0.125 of a scoop. Together, how much dog food do the two dogs eat each day?",0.125+0.125=x,Addition,0.25
888,"Blake filled a bucket with 0.8 of a gallon of water. Later, he poured out 0.2 of a gallon of the water. How much water is left in the bucket?",0.8-0.2=x,Subtraction,0.6
889,Mandy made an apple pie. She used 0.6666666666666666 of a tablespoon of cinnamon and 0.5 of a tablespoon of nutmeg. How much more cinnamon than nutmeg did Mandy use?,0.6666666666666666-0.5=x,Subtraction,0.16666666666666666
890,"The Montoya family spends 0.6 of their budget on groceries and another 0.2 going out to eat. Altogether, what fraction of their budget does the Montoya family spend on food?",0.6+0.2=x,Addition,0.8
891,"In Mr. Olsen's mathematics class, 0.7 of the students received A's and 0.2 received B's. What fraction of the students received either A's or B's?",0.7+0.2=x,Addition,0.9
892,"There is 0.16666666666666666 of a cup of oil in Scarlett's measuring cup. If Scarlett adds 0.6666666666666666 of a cup more, how much oil will be in the measuring cup?",0.16666666666666666+0.6666666666666666=x,Addition,0.8333333333333334
893,"One evening, a restaurant served a total of 0.2 of a loaf of wheat bread and 0.4 of a loaf of white bread. How many loaves were served in all?",0.2+0.4=x,Addition,0.6
894,Stanley ran 0.4 of a mile and walked 0.2 of a mile. How much farther did Stanley run than walk?,0.4-0.2=x,Subtraction,0.2
895,Dina made cookies. She used 0.625 of a cup of flour and 0.25 of a cup of sugar. How much more flour than sugar did Dina use?,0.625-0.25=x,Subtraction,0.375
896,"Each day, the polar bear at Richmond's zoo eats 0.2 of a bucket of trout and 0.4 of a bucket of salmon. How many buckets of fish does the polar bear eat daily?",0.2+0.4=x,Addition,0.6
897,Jenny ran 0.6 of a mile and walked 0.4 of a mile. How much farther did Jenny run than walk?,0.6-0.4=x,Subtraction,0.2
898,0.5 of the students in the band are in the trumpet section. 0.125 of the students in the band are in the trombone section. What fraction of the students in the band are in either the trumpet section or the trombone section?,0.5+0.125=x,Addition,0.625
899,Suzie found two worms in the yard and measured them with a ruler. One worm was 0.8 of an inch long. The other worm was 0.1 of an inch long. How much longer was the longer worm?,0.8-0.1=x,Subtraction,0.7
900,Scarlett made a fruit salad with 0.25 of a pound of melon and 0.375 of a pound of berries. How many pounds of fruit did Scarlett use in all?,0.25+0.375=x,Addition,0.625
901,Vince's bus ride to school is 0.625 of a mile and Zachary's bus ride is 0.5 of a mile. How much longer is Vince's bus ride than Zachary's?,0.625-0.5=x,Subtraction,0.125
902,"In one week, Mitch's family drank 0.5 of a carton of regular milk and 0.1 of a carton of soy milk. How much milk did they drink in all?",0.5+0.1=x,Addition,0.6
903,Elizabeth went to the salon and had 0.375 of an inch of hair cut off. The next day she went back and asked for another 0.5 of an inch to be cut off. How much hair did she have cut off in all?,0.375+0.5=x,Addition,0.875
904,"In Shannon's apartment complex, 0.16666666666666666 of the apartments are one-bedroom apartments and 0.3333333333333333 are two-bedroom apartments. What fraction of the apartments are either one- or two-bedroom apartments?",0.16666666666666666+0.3333333333333333=x,Addition,0.5
905,"At the beach, Miki and her sister both built sandcastles and then measured their heights. Miki's sandcastle was 0.8333333333333334 of a foot tall and her sister's was 0.5 of a foot tall. How much taller was Miki's sandcastle than her sister's?",0.8333333333333334-0.5=x,Subtraction,0.3333333333333333
906,"Michelle began her pizza delivery route with 0.5 of a tank of gas in her car. When she made it back to the pizzeria, 0.16666666666666666 of a tank of gas was left. How much gas did Michelle use?",0.5-0.16666666666666666=x,Subtraction,0.3333333333333333
907,"While taking inventory at her pastry shop, Kelly realizes that she had 0.4 of a box of baking powder yesterday, but the supply is now down to 0.3 of a box. How much more baking powder did Kelly have yesterday?",0.4-0.3=x,Subtraction,0.1
908,Craig walked 0.2 of a mile from school to David's house and 0.7 of a mile from David's house to his own house. How many miles did Craig walk in all?,0.2+0.7=x,Addition,0.9
909,Greg and Sharon own neighboring cornfields. Greg harvested 0.4 of an acre of corn on Monday and Sharon harvested 0.1 of an acre. How many more acres did Greg harvest than Sharon?,0.4+0.1=x,Addition,0.3
910,"While making desserts for a bake sale, Victor used 0.625 of a scoop of brown sugar as well as 0.25 of a scoop of white sugar. How much more brown sugar did Victor use?",0.625-0.25=x,Subtraction,0.375
911,Eve ran 0.7 of a mile and walked 0.6 of a mile. How much farther did Eve run than walk?,0.7+0.6=x,Addition,0.1
912,Jonah added 0.3 of a cup of yellow raisins and 0.4 of a cup of black raisins to a batch of trail mix. How many cups of raisins did Jonah add in all?,0.3+0.4=x,Addition,0.7
913,"When Jake had one cat, he needed to serve 0.5 of a can of cat food each day. Now that Jake has adopted a second cat, he needs to serve a total of 0.9 of a can each day. How much extra food is needed to feed the second cat?",0.9-0.5=x,Subtraction,0.4
914,In Yardley it snowed 0.125 of an inch in the morning and 0.5 of an inch in the afternoon. What was the total amount of snowfall?,0.125+0.5=x,Addition,0.625
915,"While making pastries, a bakery used 0.2 of a bag of wheat flour and 0.1 of a bag of white flour. How many bags of flour did the bakery use in all?",0.2+0.1=x,Addition,0.3
916,"Kaleen filled a bucket with 0.75 of a gallon of water. A few minutes later, she realized only 0.5 of a gallon of water remained. How much water had leaked out of the bucket?",0.75-0.5=x,Subtraction,0.25
917,"Carefully following a recipe, Kenny used exactly 0.16666666666666666 of a cup of oil and 1.1666666666666667 cups of water. How many cups of liquid did Kenny use in all?",0.16666666666666666+1.1666666666666667=x,Addition,1.3333333333333333
918,Dale's Vegetarian Restaurant bought 2.8333333333333335 pounds of green peppers and 2.8333333333333335 pounds of red peppers. How many pounds of peppers did Dale's Vegetarian Restaurant buy in all?,2.8333333333333335+2.8333333333333335=x,Addition,5.666666666666667
919,"This afternoon Craig left school, rode the bus 3.8333333333333335 miles, and then walked 0.16666666666666666 of a mile to get home. How much farther did Craig ride than walk?",3.8333333333333335-0.16666666666666666=x,Subtraction,3.6666666666666665
920,Kelly's chemistry textbook weighs 7.125 pounds and her geometry textbook weighs 0.625 of a pound. How much more does the chemistry textbook weigh than the geometry textbook?,7.125-0.625=x,Subtraction,6.5
921,Roadster's Paving Company used 10 tons of cement to pave Lexi's street and 5.1 tons of cement to pave Tess's street. How much cement did Roadster's Paving Company use in all?,10+5.1=x,Addition,15.1
922,"On a hot day, Sam poured 1 bucket of water into a plastic wading pool. A few minutes later he added another 8.8 buckets. How much water did Sam pour into the pool?",1+8.8=x,Addition,9.8
923,Kyle jogged 1.125 laps in P.E. class and 2.125 laps during track practice. How many laps did Kyle jog in all?,1.125+2.125=x,Addition,3.25
924,"A bucket contains 3 gallons of water. If Derek adds 6.8 gallons more, how many gallons will there be in all?",3+6.8=x,Addition,9.8
925,"At a pizza party, Mason and his friends drank 2.6666666666666665 bottles of lemon-lime soda and 2.6666666666666665 bottles of cola. How much soda did they drink in all?",2.6666666666666665+2.6666666666666665=x,Addition,5.333333333333333
926,Professor Ellison weighed two pieces of metal for an experiment. The piece of iron weighed 11.166666666666666 pounds and the piece of aluminum weighed 0.8333333333333334 of a pound. How much more did the piece of iron weigh than the piece of aluminum?,11.166666666666666-0.8333333333333334=x,Subtraction,10.333333333333334
927,"As part of a lesson on earthquakes, a science class is researching the movement of a nearby fault line. The fault line moved 1.25 inches during the past year and 5.25 inches the year before. How far did the fault line move in all?",1.25+5.25=x,Addition,6.5
928,"Hoping to be named Salesperson of the Month, Rosa called the names from 10.2 pages of the phone book last week. This week, she called the people listed on another 8.6 pages of the same phone book. How many pages worth of people did Rosa call in all?",10.2+8.6=x,Addition,18.8
929,"At the beach, Janet and her sister both built sandcastles and then measured their heights. Janet's sandcastle was 3.6666666666666665 feet tall and her sister's was 2.3333333333333335 feet tall. How much taller was Janet's sandcastle than her sister's?",3.6666666666666665-2.3333333333333335=x,Subtraction,1.3333333333333333
930,Nicole found an orange caterpillar and a green caterpillar in her backyard. The green caterpillar was 3 inches long and the orange caterpillar was 1.1666666666666667 inches long. How much longer was the green caterpillar than the orange caterpillar?,3-1.1666666666666667=x,Subtraction,1.8333333333333335
931,Alec and his roommates ate 3.25 pints of ice cream on Friday night and 0.25 of a pint of ice cream on Saturday night. How many pints did they eat in all?,3.25+0.25=x,Addition,3.5
932,"A farmer started the day with 8.75 buckets of seeds. After spending the morning sowing seeds, she now has 6 buckets left. How many buckets of seeds did the farmer sow?",8.75-6=x,Subtraction,2.75
933,Irene just bought a new lamp for her bedside table. The old lamp was 1 foot tall and the new lamp is 2.3333333333333335 feet tall. How much taller is the new lamp than the old lamp?,2.3333333333333335-1=x,Subtraction,1.3333333333333333
934,Ezra drew a white line that was 7.666666666666667 inches long. Then he drew a blue line that was 3.3333333333333335 inches long. How much longer was the white line than the blue line?,7.666666666666667-3.3333333333333335=x,Subtraction,4.333333333333333
935,"There are 7.75 gallons of water in Becky's fish tank. If Becky adds 7 gallons more, how many gallons will there be in all?",7.75+7=x,Addition,14.75
936,Wendy ran 19.833333333333332 miles and walked 9.166666666666666 miles. How much farther did Wendy run than walk?,19.833333333333332-9.166666666666666=x,Subtraction,10.666666666666666
937,Kenji and his classmates placed colored blocks on a scale during a science lab. The yellow block weighed 0.6 pounds and the green block weighed 0.4 pounds. How much more did the yellow block weigh than the green block?,0.6-0.4=x,Subtraction,0.2
938,"Terrell hiked 8.2 miles on Saturday. Then, on Sunday, he hiked another 1.6 miles. How far did Terrell hike all together?",8.2+1.6=x,Addition,9.8
939,A carpenter bought a piece of wood that was 0.41 meters long. Then she sawed 0.33 meters off the end. How long is the piece of wood now?,0.41-0.33=x,Subtraction,0.08
940,Kelly bought 0.1 pounds of peanuts and 0.4 pounds of raisins. How many pounds of snacks did she buy in all?,0.1+0.4=x,Addition,0.5
941,"Kevin bought two watermelons. The first watermelon was 9.91 pounds, and the second watermelon was 4.11 pounds. How many pounds of watermelon did Kevin buy?",9.91+4.11=x,Addition,14.02
942,In March it rained 0.81 inches. It rained 0.35 inches less in April than in March. How much did it rain in April?,0.81-0.35=x,Subtraction,0.46
943,"Ron weighed two colored metal balls during a science class. The blue ball weighed 6 pounds and the brown ball weighed 3.12 pounds. If Ron places both balls on the scale at the same time, what will the scale read?",6+3.12=x,Addition,9.12
944,"A bee colony produced 0.36 pounds of honey, but bears ate 0.05 pounds of it. How much honey remains?",0.36-0.05=x,Subtraction,0.31
945,"It rained 0.9 inches on Monday. On Tuesday, it rained 0.7 inches less than on Monday. How much did it rain on Tuesday?",0.9-0.7=x,Subtraction,0.2
946,It snowed 0.32 inches on Monday and 0.21 inches on Tuesday. How much did it snow on Monday and Tuesday combined?,0.32+0.21=x,Addition,0.53
947,Brennan had 0.25 grams of pepper. Then he used 0.16 grams of the pepper to make some scrambled eggs. How much pepper does Brennan have left?,0.25-0.16=x,Subtraction,0.09
948,A construction company bought 5.91 tons of gravel and 8.11 tons of sand. How many tons of material did the company buy in all?,5.91+8.11=x,Addition,14.02
949,It rained 0.2 inches on Saturday and 0.4 inches on Sunday. How much did it rain on Saturday and Sunday combined?,0.2+0.4=x,Addition,0.6
950,"Pamela bought 9.8 ounces of sugar, and she spilled 5.2 ounces of it on the floor. How much is left?",9.8-5.2=x,Subtraction,4.6
951,Gordon bought 3.42 pounds of fruit for a class party. The class ate 2.2 pounds of the fruit. How much fruit is left?,3.42-2.2=x,Subtraction,1.22
952,A chef bought 0.14 kilograms of almonds and 0.38 kilograms of pecans. How many kilograms of nuts did the chef buy in all?,0.14+0.38=x,Addition,0.52
953,"Marta picked two pumpkins. The first pumpkin weighed 4 pounds, and the second pumpkin weighed 8.7 pounds. How much did the two pumpkins weigh all together?",4+8.7=x,Addition,12.7
954,A truck carrying 4.1 pounds of sand travels to a construction yard and loses 2.4 pounds of sand along the way. How much sand does the truck have when it arrives at the yard?,4.1-2.4=x,Subtraction,1.7
955,Tori was 4.4 feet tall. Then she grew 2.86 feet taller. How tall is Tori now?,4.4+2.86=x,Addition,7.26
956,A carpenter bought a piece of wood that was 8.9 centimeters long. Then he sawed 2.3 centimeters off the end. How long is the piece of wood now?,8.9-2.3=x,Subtraction,6.6
957,How many cookies would you have if you had 37 bags of cookies with 19 cookies in each bag?,37*19=x,Multiplication,703.0
958,The Ferris wheel in Paradise Park has 14 seats. Each seat can hold 6 people. How many people can ride the Ferris wheel at the same time?,14*6=x,Multiplication,84.0
959,There are 261 fishbowls. Each fishbowl has 23 fish. How many fish are there?,261*23=x,Multiplication,6003.0
960,We ordered 21 pizzas. Each pizza has 8 slices. How many slices of pizza are there altogether?,21*8=x,Multiplication,168.0
961,Emily collected eggs from the hen and put them into 303 baskets. She put 28 eggs into each basket. How many eggs did Emily collect?,303*28=x,Multiplication,8484.0
962,There are 37 baskets. There are 17 apples in each basket. How many apples are there in all?,37*17=x,Multiplication,629.0
963,"Bryan took a look at his books as well. If Bryan has 56 books in each of his 9 bookshelves, how many books does he have in total?",56*9=x,Multiplication,504.0
964,"Bryan had 8 precious stones in his collection which he sold to his friend from the jewelry store. If the stones were sold at 1785 dollar each, how much money did Bryan get in total?",8*1785=x,Multiplication,14280.0
965,The farmers reported that they harvest 45 sacks of apples from each of the 8 sections of the orchard daily. How many sacks are harvested every day?,45*8=x,Multiplication,360.0
966,Lewis then went to see the oranges being harvested. Lewis found out that they harvest 83 sacks per day. How many sacks of oranges will they have after 6 days of harvest?,83*6=x,Multiplication,498.0
967,Lewis saved checking on the grapevines for his last stop. He was told by one of the pickers that they fill 324 drums of grapes per day. How many drums of grapes would be filled in 9 days?,324*9=x,Multiplication,2916.0
968,"Upon arriving at the circus, they went to the ticket booth and asked how much each ticket cost. If each ticket costs 44 dollars and they bought 7 tickets, how much money did they spend on tickets?",44*7=x,Multiplication,308.0
969,"They entered the circus tent and saw that there are 4 sections for the audience. If each section can accommodate 246 people, how many people can the tent accommodate in total?",4*246=x,Multiplication,984.0
970,"The first act included 5 clown mobiles, each stuffed with 28 clowns. How many clowns are inside all the clown mobiles combined?",5*28=x,Multiplication,140.0
971,"The next act involved several jugglers. If each juggler is juggling 6 balls at a time, how many balls are needed if there are 378 jugglers putting a show at the same time?",6*378=x,Multiplication,2268.0
972,"For the final act, the circus brought out dancing animals wearing crowns. If each crown is made with 7 different colored feathers, how many feathers are needed for 934 crowns?",7*934=x,Multiplication,6538.0
973,"The library is divided into different sections for different type of books. The science fiction section has 8 books. If each book has 478 pages, how many pages do all the books have in total?",8*478=x,Multiplication,3824.0
974,"Jack has a section filled with short story booklets. If each booklet has 9 pages and there are 49 booklets in the short story section, how many pages will Jack need to go through if he plans to read them all?",9*49=x,Multiplication,441.0
975,"The mini library also has a section for the classics. If Jack has a collection of 6 classic authors, with each author having 33 books, how many books does he have in the classics section?",6*33=x,Multiplication,198.0
976,She counted her crayons and found out that she has 80 crayons which she will place in crayon boxes. Every box can contain 8 crayons. How many boxes does she need?,80/8=x,Division,10.0
977,"There was a stack of 700 sheets of used paper. Lexie wants to place it in boxes for recycling. If every box can contain 100 sheets, how many boxes does Lexie need?",700/7=x,Division,7.0
978,"Lexie’s mom gathered all her watercolor paintings and thought of placing an equal number of paintings in 4 rooms in the house. If Lexie has 32 watercolor paintings, how many paintings will be placed in each room?",4*x=32,Multiplication,8.0
979,"Lexie’s younger brother helped pick up all the paper clips in Lexie’s room. He was able to collect 81 paper clips. If he wants to distribute the paper clips in 9 boxes, how many paper clips will each box contain?",81/9=x,Division,9.0
980,"The junior ranger asked Christian to help him place 420 seedlings in packets. If every packet needs to contain 7 seeds, how many packets do they need?",420/7=x,Division,60.0
981,"Christian’s mother prepared lemonade. Every pitcher of lemonade can serve 5 glasses. If she was able to serve 30 glasses of lemonade, how many pitchers of lemonade did she prepare?",5*x=30,Multiplication,6.0
982,"Christian’s father and the senior ranger gathered firewood as they walked towards the lake in the park and brought with them sacks. If every sack can contain around 20 pieces of wood, how many sacks were they able to fill if they gathered 80 pieces of wood?",20*x=80,Multiplication,4.0
983,"Christian and the junior ranger brought a bag of 140 nails as they visited every station assigned to the junior ranger. If they left exactly 7 nails in every station they visited, how many stations did Joline and the junior ranger visit?",140/7=x,Division,20.0
984,"Sunday morning was spent for making wood carvings which can be sold as souvenir for tourists. They were placed in shelves that can contain 8 wood carvings at a time. If 56 wood carvings were displayed, how many shelves were filled with carvings?",8*x=56,Multiplication,7.0
985,"Shiela has 6 neighbors who like to collect animal drawings. Shiela drew 54 animals on small pieces of paper. If she plans to give the same number of animal drawings to her neighbors, how many will each of them receive?",6*x=54,Multiplication,9.0
986,"Allen, Shiela’s brother, likes to play with blocks. Shiela repainted Allen’s old blocks in different colors. If Allen has 49 identical blocks and there are 7 blocks for every color of paint used, how many colors did Shiela use?",49/7=x,Division,7.0
987,"It has been tradition in Shiela’s home to hang a sock above the fireplace for each member of the family. This year, she placed a cinnamon ball every day in the socks for 5 of her family members. How long can she do this if she bought 50 cinnamon balls?",5*x=50,Multiplication,10.0
988,"9 of Hayley’s closest friends like stickers. If she plans to give all of them an equal number of stickers, how many will each receive if she has 72 stickers?",9*x=72,Multiplication,8.0
989,"In Haley’s class, 5 are boys who love to play marbles. If Haley has 35 marbles, how many will each of the boys receive?",5*x=35,Multiplication,7.0
990,"When relatives visit Haley and her family, she and her cousins do origami. If she has 48 origami papers to give away to her 6 cousins, how many will each receive if she gives everyone the same number of origami papers?",48/6=x,Division,8.0
991,"A large bag of balls was kept under Haley’s bed. Her mom placed the balls in bags for children in foster homes. If every bag can contain 4 balls and Haley has 36 balls, how many bags will be used?",4*x=36,Multiplication,9.0
992,"Haley has 63 magazines in her cabinet. She plans to send it to the recycling office in their area. If she places it in boxes which can contain 9 magazines, how many boxes will Hayley use?",63/9=x,Division,7.0
993,Betty bought 88 pink flower stones and wanted to make 8 bracelets out of these stones. How many pink flower stones will each bracelet have if she used the same number of stones in each bracelet?,88/8=x,Division,11.0
